Les codes hexas et unicode des caractères usuels, par Nicolas Hoffmann
Code unicode	Code hexa	En clair	Au clavier
&#17944;	%4618	䘘
&#17945;	%4619	䘙
&#17946;	%461a	䘚
&#17947;	%461b	䘛
&#17948;	%461c	䘜
&#17949;	%461d	䘝
&#17950;	%461e	䘞
&#17951;	%461f	䘟
&#17952;	%4620	䘠
&#17953;	%4621	䘡
&#17954;	%4622	䘢
&#17955;	%4623	䘣
&#17956;	%4624	䘤
&#17957;	%4625	䘥
&#17958;	%4626	䘦
&#17959;	%4627	䘧
&#17960;	%4628	䘨
&#17961;	%4629	䘩
&#17962;	%462a	䘪
&#17963;	%462b	䘫
&#17964;	%462c	䘬
&#17965;	%462d	䘭
&#17966;	%462e	䘮
&#17967;	%462f	䘯
&#17968;	%4630	䘰
&#17969;	%4631	䘱
&#17970;	%4632	䘲
&#17971;	%4633	䘳
&#17972;	%4634	䘴
&#17973;	%4635	䘵
&#17974;	%4636	䘶
&#17975;	%4637	䘷
&#17976;	%4638	䘸
&#17977;	%4639	䘹
&#17978;	%463a	䘺
&#17979;	%463b	䘻
&#17980;	%463c	䘼
&#17981;	%463d	䘽
&#17982;	%463e	䘾
&#17983;	%463f	䘿
&#17984;	%4640	䙀
&#17985;	%4641	䙁
&#17986;	%4642	䙂
&#17987;	%4643	䙃
&#17988;	%4644	䙄
&#17989;	%4645	䙅
&#17990;	%4646	䙆
&#17991;	%4647	䙇
&#17992;	%4648	䙈
&#17993;	%4649	䙉
&#17994;	%464a	䙊
&#17995;	%464b	䙋
&#17996;	%464c	䙌
&#17997;	%464d	䙍
&#17998;	%464e	䙎
&#17999;	%464f	䙏
&#18000;	%4650	䙐
&#18001;	%4651	䙑
&#18002;	%4652	䙒
&#18003;	%4653	䙓
&#18004;	%4654	䙔
&#18005;	%4655	䙕
&#18006;	%4656	䙖
&#18007;	%4657	䙗
&#18008;	%4658	䙘
&#18009;	%4659	䙙
&#18010;	%465a	䙚
&#18011;	%465b	䙛
&#18012;	%465c	䙜
&#18013;	%465d	䙝
&#18014;	%465e	䙞
&#18015;	%465f	䙟
&#18016;	%4660	䙠
&#18017;	%4661	䙡
&#18018;	%4662	䙢
&#18019;	%4663	䙣
&#18020;	%4664	䙤
&#18021;	%4665	䙥
&#18022;	%4666	䙦
&#18023;	%4667	䙧
&#18024;	%4668	䙨
&#18025;	%4669	䙩
&#18026;	%466a	䙪
&#18027;	%466b	䙫
&#18028;	%466c	䙬
&#18029;	%466d	䙭
&#18030;	%466e	䙮
&#18031;	%466f	䙯
&#18032;	%4670	䙰
&#18033;	%4671	䙱
&#18034;	%4672	䙲
&#18035;	%4673	䙳
&#18036;	%4674	䙴
&#18037;	%4675	䙵
&#18038;	%4676	䙶
&#18039;	%4677	䙷
&#18040;	%4678	䙸
&#18041;	%4679	䙹
&#18042;	%467a	䙺
&#18043;	%467b	䙻
&#18044;	%467c	䙼
&#18045;	%467d	䙽
&#18046;	%467e	䙾
&#18047;	%467f	䙿
&#18048;	%4680	䚀
&#18049;	%4681	䚁
&#18050;	%4682	䚂
&#18051;	%4683	䚃
&#18052;	%4684	䚄
&#18053;	%4685	䚅
&#18054;	%4686	䚆
&#18055;	%4687	䚇
&#18056;	%4688	䚈
&#18057;	%4689	䚉
&#18058;	%468a	䚊
&#18059;	%468b	䚋
&#18060;	%468c	䚌
&#18061;	%468d	䚍
&#18062;	%468e	䚎
&#18063;	%468f	䚏
&#18064;	%4690	䚐
&#18065;	%4691	䚑
&#18066;	%4692	䚒
&#18067;	%4693	䚓
&#18068;	%4694	䚔
&#18069;	%4695	䚕
&#18070;	%4696	䚖
&#18071;	%4697	䚗
&#18072;	%4698	䚘
&#18073;	%4699	䚙
&#18074;	%469a	䚚
&#18075;	%469b	䚛
&#18076;	%469c	䚜
&#18077;	%469d	䚝
&#18078;	%469e	䚞
&#18079;	%469f	䚟
&#18080;	%46a0	䚠
&#18081;	%46a1	䚡
&#18082;	%46a2	䚢
&#18083;	%46a3	䚣
&#18084;	%46a4	䚤
&#18085;	%46a5	䚥
&#18086;	%46a6	䚦
&#18087;	%46a7	䚧
&#18088;	%46a8	䚨
&#18089;	%46a9	䚩
&#18090;	%46aa	䚪
&#18091;	%46ab	䚫
&#18092;	%46ac	䚬
&#18093;	%46ad	䚭
&#18094;	%46ae	䚮
&#18095;	%46af	䚯
&#18096;	%46b0	䚰
&#18097;	%46b1	䚱
&#18098;	%46b2	䚲
&#18099;	%46b3	䚳
&#18100;	%46b4	䚴
&#18101;	%46b5	䚵
&#18102;	%46b6	䚶
&#18103;	%46b7	䚷
&#18104;	%46b8	䚸
&#18105;	%46b9	䚹
&#18106;	%46ba	䚺
&#18107;	%46bb	䚻
&#18108;	%46bc	䚼
&#18109;	%46bd	䚽
&#18110;	%46be	䚾
&#18111;	%46bf	䚿
&#18112;	%46c0	䛀
&#18113;	%46c1	䛁
&#18114;	%46c2	䛂
&#18115;	%46c3	䛃
&#18116;	%46c4	䛄
&#18117;	%46c5	䛅
&#18118;	%46c6	䛆
&#18119;	%46c7	䛇
&#18120;	%46c8	䛈
&#18121;	%46c9	䛉
&#18122;	%46ca	䛊
&#18123;	%46cb	䛋
&#18124;	%46cc	䛌
&#18125;	%46cd	䛍
&#18126;	%46ce	䛎
&#18127;	%46cf	䛏
&#18128;	%46d0	䛐
&#18129;	%46d1	䛑
&#18130;	%46d2	䛒
&#18131;	%46d3	䛓
&#18132;	%46d4	䛔
&#18133;	%46d5	䛕
&#18134;	%46d6	䛖
&#18135;	%46d7	䛗
&#18136;	%46d8	䛘
&#18137;	%46d9	䛙
&#18138;	%46da	䛚
&#18139;	%46db	䛛
&#18140;	%46dc	䛜
&#18141;	%46dd	䛝
&#18142;	%46de	䛞
&#18143;	%46df	䛟
&#18144;	%46e0	䛠
&#18145;	%46e1	䛡
&#18146;	%46e2	䛢
&#18147;	%46e3	䛣
&#18148;	%46e4	䛤
&#18149;	%46e5	䛥
&#18150;	%46e6	䛦
&#18151;	%46e7	䛧
&#18152;	%46e8	䛨
&#18153;	%46e9	䛩
&#18154;	%46ea	䛪
&#18155;	%46eb	䛫
&#18156;	%46ec	䛬
&#18157;	%46ed	䛭
&#18158;	%46ee	䛮
&#18159;	%46ef	䛯
&#18160;	%46f0	䛰
&#18161;	%46f1	䛱
&#18162;	%46f2	䛲
&#18163;	%46f3	䛳
&#18164;	%46f4	䛴
&#18165;	%46f5	䛵
&#18166;	%46f6	䛶
&#18167;	%46f7	䛷
&#18168;	%46f8	䛸
&#18169;	%46f9	䛹
&#18170;	%46fa	䛺
&#18171;	%46fb	䛻
&#18172;	%46fc	䛼
&#18173;	%46fd	䛽
&#18174;	%46fe	䛾
&#18175;	%46ff	䛿
&#18176;	%4700	䜀
&#18177;	%4701	䜁
&#18178;	%4702	䜂
&#18179;	%4703	䜃
&#18180;	%4704	䜄
&#18181;	%4705	䜅
&#18182;	%4706	䜆
&#18183;	%4707	䜇
&#18184;	%4708	䜈
&#18185;	%4709	䜉
&#18186;	%470a	䜊
&#18187;	%470b	䜋
&#18188;	%470c	䜌
&#18189;	%470d	䜍
&#18190;	%470e	䜎
&#18191;	%470f	䜏
&#18192;	%4710	䜐
&#18193;	%4711	䜑
&#18194;	%4712	䜒
&#18195;	%4713	䜓
&#18196;	%4714	䜔
&#18197;	%4715	䜕
&#18198;	%4716	䜖
&#18199;	%4717	䜗
&#18200;	%4718	䜘
&#18201;	%4719	䜙
&#18202;	%471a	䜚
&#18203;	%471b	䜛
&#18204;	%471c	䜜
&#18205;	%471d	䜝
&#18206;	%471e	䜞
&#18207;	%471f	䜟
&#18208;	%4720	䜠
&#18209;	%4721	䜡
&#18210;	%4722	䜢
&#18211;	%4723	䜣
&#18212;	%4724	䜤
&#18213;	%4725	䜥
&#18214;	%4726	䜦
&#18215;	%4727	䜧
&#18216;	%4728	䜨
&#18217;	%4729	䜩
&#18218;	%472a	䜪
&#18219;	%472b	䜫
&#18220;	%472c	䜬
&#18221;	%472d	䜭
&#18222;	%472e	䜮
&#18223;	%472f	䜯
&#18224;	%4730	䜰
&#18225;	%4731	䜱
&#18226;	%4732	䜲
&#18227;	%4733	䜳
&#18228;	%4734	䜴
&#18229;	%4735	䜵
&#18230;	%4736	䜶
&#18231;	%4737	䜷
&#18232;	%4738	䜸
&#18233;	%4739	䜹
&#18234;	%473a	䜺
&#18235;	%473b	䜻
&#18236;	%473c	䜼
&#18237;	%473d	䜽
&#18238;	%473e	䜾
&#18239;	%473f	䜿
&#18240;	%4740	䝀
&#18241;	%4741	䝁
&#18242;	%4742	䝂
&#18243;	%4743	䝃
&#18244;	%4744	䝄
&#18245;	%4745	䝅
&#18246;	%4746	䝆
&#18247;	%4747	䝇
&#18248;	%4748	䝈
&#18249;	%4749	䝉
&#18250;	%474a	䝊
&#18251;	%474b	䝋
&#18252;	%474c	䝌
&#18253;	%474d	䝍
&#18254;	%474e	䝎
&#18255;	%474f	䝏
&#18256;	%4750	䝐
&#18257;	%4751	䝑
&#18258;	%4752	䝒
&#18259;	%4753	䝓
&#18260;	%4754	䝔
&#18261;	%4755	䝕
&#18262;	%4756	䝖
&#18263;	%4757	䝗
&#18264;	%4758	䝘
&#18265;	%4759	䝙
&#18266;	%475a	䝚
&#18267;	%475b	䝛
&#18268;	%475c	䝜
&#18269;	%475d	䝝
&#18270;	%475e	䝞
&#18271;	%475f	䝟
&#18272;	%4760	䝠
&#18273;	%4761	䝡
&#18274;	%4762	䝢
&#18275;	%4763	䝣
&#18276;	%4764	䝤
&#18277;	%4765	䝥
&#18278;	%4766	䝦
&#18279;	%4767	䝧
&#18280;	%4768	䝨
&#18281;	%4769	䝩
&#18282;	%476a	䝪
&#18283;	%476b	䝫
&#18284;	%476c	䝬
&#18285;	%476d	䝭
&#18286;	%476e	䝮
&#18287;	%476f	䝯
&#18288;	%4770	䝰
&#18289;	%4771	䝱
&#18290;	%4772	䝲
&#18291;	%4773	䝳
&#18292;	%4774	䝴
&#18293;	%4775	䝵
&#18294;	%4776	䝶
&#18295;	%4777	䝷
&#18296;	%4778	䝸
&#18297;	%4779	䝹
&#18298;	%477a	䝺
&#18299;	%477b	䝻
&#18300;	%477c	䝼
&#18301;	%477d	䝽
&#18302;	%477e	䝾
&#18303;	%477f	䝿
&#18304;	%4780	䞀
&#18305;	%4781	䞁
&#18306;	%4782	䞂
&#18307;	%4783	䞃
&#18308;	%4784	䞄
&#18309;	%4785	䞅
&#18310;	%4786	䞆
&#18311;	%4787	䞇
&#18312;	%4788	䞈
&#18313;	%4789	䞉
&#18314;	%478a	䞊
&#18315;	%478b	䞋
&#18316;	%478c	䞌
&#18317;	%478d	䞍
&#18318;	%478e	䞎
&#18319;	%478f	䞏
&#18320;	%4790	䞐
&#18321;	%4791	䞑
&#18322;	%4792	䞒
&#18323;	%4793	䞓
&#18324;	%4794	䞔
&#18325;	%4795	䞕
&#18326;	%4796	䞖
&#18327;	%4797	䞗
&#18328;	%4798	䞘
&#18329;	%4799	䞙
&#18330;	%479a	䞚
&#18331;	%479b	䞛
&#18332;	%479c	䞜
&#18333;	%479d	䞝
&#18334;	%479e	䞞
&#18335;	%479f	䞟
&#18336;	%47a0	䞠
&#18337;	%47a1	䞡
&#18338;	%47a2	䞢
&#18339;	%47a3	䞣
&#18340;	%47a4	䞤
&#18341;	%47a5	䞥
&#18342;	%47a6	䞦
&#18343;	%47a7	䞧
&#18344;	%47a8	䞨
&#18345;	%47a9	䞩
&#18346;	%47aa	䞪
&#18347;	%47ab	䞫
&#18348;	%47ac	䞬
&#18349;	%47ad	䞭
&#18350;	%47ae	䞮
&#18351;	%47af	䞯
&#18352;	%47b0	䞰
&#18353;	%47b1	䞱
&#18354;	%47b2	䞲
&#18355;	%47b3	䞳
&#18356;	%47b4	䞴
&#18357;	%47b5	䞵
&#18358;	%47b6	䞶
&#18359;	%47b7	䞷
&#18360;	%47b8	䞸
&#18361;	%47b9	䞹
&#18362;	%47ba	䞺
&#18363;	%47bb	䞻
&#18364;	%47bc	䞼
&#18365;	%47bd	䞽
&#18366;	%47be	䞾
&#18367;	%47bf	䞿
&#18368;	%47c0	䟀
&#18369;	%47c1	䟁
&#18370;	%47c2	䟂
&#18371;	%47c3	䟃
&#18372;	%47c4	䟄
&#18373;	%47c5	䟅
&#18374;	%47c6	䟆
&#18375;	%47c7	䟇
&#18376;	%47c8	䟈
&#18377;	%47c9	䟉
&#18378;	%47ca	䟊
&#18379;	%47cb	䟋
&#18380;	%47cc	䟌
&#18381;	%47cd	䟍
&#18382;	%47ce	䟎
&#18383;	%47cf	䟏
&#18384;	%47d0	䟐
&#18385;	%47d1	䟑
&#18386;	%47d2	䟒
&#18387;	%47d3	䟓
&#18388;	%47d4	䟔
&#18389;	%47d5	䟕
&#18390;	%47d6	䟖
&#18391;	%47d7	䟗
&#18392;	%47d8	䟘
&#18393;	%47d9	䟙
&#18394;	%47da	䟚
&#18395;	%47db	䟛
&#18396;	%47dc	䟜
&#18397;	%47dd	䟝
&#18398;	%47de	䟞
&#18399;	%47df	䟟
&#18400;	%47e0	䟠
&#18401;	%47e1	䟡
&#18402;	%47e2	䟢
&#18403;	%47e3	䟣
&#18404;	%47e4	䟤
&#18405;	%47e5	䟥
&#18406;	%47e6	䟦
&#18407;	%47e7	䟧
&#18408;	%47e8	䟨
&#18409;	%47e9	䟩
&#18410;	%47ea	䟪
&#18411;	%47eb	䟫
&#18412;	%47ec	䟬
&#18413;	%47ed	䟭
&#18414;	%47ee	䟮
&#18415;	%47ef	䟯
&#18416;	%47f0	䟰
&#18417;	%47f1	䟱
&#18418;	%47f2	䟲
&#18419;	%47f3	䟳
&#18420;	%47f4	䟴
&#18421;	%47f5	䟵
&#18422;	%47f6	䟶
&#18423;	%47f7	䟷
&#18424;	%47f8	䟸
&#18425;	%47f9	䟹
&#18426;	%47fa	䟺
&#18427;	%47fb	䟻
&#18428;	%47fc	䟼
&#18429;	%47fd	䟽
&#18430;	%47fe	䟾
&#18431;	%47ff	䟿
&#18432;	%4800	䠀
&#18433;	%4801	䠁
&#18434;	%4802	䠂
&#18435;	%4803	䠃
&#18436;	%4804	䠄
&#18437;	%4805	䠅
&#18438;	%4806	䠆
&#18439;	%4807	䠇
&#18440;	%4808	䠈
&#18441;	%4809	䠉
&#18442;	%480a	䠊
&#18443;	%480b	䠋
&#18444;	%480c	䠌
&#18445;	%480d	䠍
&#18446;	%480e	䠎
&#18447;	%480f	䠏
&#18448;	%4810	䠐
&#18449;	%4811	䠑
&#18450;	%4812	䠒
&#18451;	%4813	䠓
&#18452;	%4814	䠔
&#18453;	%4815	䠕
&#18454;	%4816	䠖
&#18455;	%4817	䠗
&#18456;	%4818	䠘
&#18457;	%4819	䠙
&#18458;	%481a	䠚
&#18459;	%481b	䠛
&#18460;	%481c	䠜
&#18461;	%481d	䠝
&#18462;	%481e	䠞
&#18463;	%481f	䠟
&#18464;	%4820	䠠
&#18465;	%4821	䠡
&#18466;	%4822	䠢
&#18467;	%4823	䠣
&#18468;	%4824	䠤
&#18469;	%4825	䠥
&#18470;	%4826	䠦
&#18471;	%4827	䠧
&#18472;	%4828	䠨
&#18473;	%4829	䠩
&#18474;	%482a	䠪
&#18475;	%482b	䠫
&#18476;	%482c	䠬
&#18477;	%482d	䠭
&#18478;	%482e	䠮
&#18479;	%482f	䠯
&#18480;	%4830	䠰
&#18481;	%4831	䠱
&#18482;	%4832	䠲
&#18483;	%4833	䠳
&#18484;	%4834	䠴
&#18485;	%4835	䠵
&#18486;	%4836	䠶
&#18487;	%4837	䠷
&#18488;	%4838	䠸
&#18489;	%4839	䠹
&#18490;	%483a	䠺
&#18491;	%483b	䠻
&#18492;	%483c	䠼
&#18493;	%483d	䠽
&#18494;	%483e	䠾
&#18495;	%483f	䠿
&#18496;	%4840	䡀
&#18497;	%4841	䡁
&#18498;	%4842	䡂
&#18499;	%4843	䡃
&#18500;	%4844	䡄
&#18501;	%4845	䡅
&#18502;	%4846	䡆
&#18503;	%4847	䡇
&#18504;	%4848	䡈
&#18505;	%4849	䡉
&#18506;	%484a	䡊
&#18507;	%484b	䡋
&#18508;	%484c	䡌
&#18509;	%484d	䡍
&#18510;	%484e	䡎
&#18511;	%484f	䡏
&#18512;	%4850	䡐
&#18513;	%4851	䡑
&#18514;	%4852	䡒
&#18515;	%4853	䡓
&#18516;	%4854	䡔
&#18517;	%4855	䡕
&#18518;	%4856	䡖
&#18519;	%4857	䡗
&#18520;	%4858	䡘
&#18521;	%4859	䡙
&#18522;	%485a	䡚
&#18523;	%485b	䡛
&#18524;	%485c	䡜
&#18525;	%485d	䡝
&#18526;	%485e	䡞
&#18527;	%485f	䡟
&#18528;	%4860	䡠
&#18529;	%4861	䡡
&#18530;	%4862	䡢
&#18531;	%4863	䡣
&#18532;	%4864	䡤
&#18533;	%4865	䡥
&#18534;	%4866	䡦
&#18535;	%4867	䡧
&#18536;	%4868	䡨
&#18537;	%4869	䡩
&#18538;	%486a	䡪
&#18539;	%486b	䡫
&#18540;	%486c	䡬
&#18541;	%486d	䡭
&#18542;	%486e	䡮
&#18543;	%486f	䡯
&#18544;	%4870	䡰
&#18545;	%4871	䡱
&#18546;	%4872	䡲
&#18547;	%4873	䡳
&#18548;	%4874	䡴
&#18549;	%4875	䡵
&#18550;	%4876	䡶
&#18551;	%4877	䡷
&#18552;	%4878	䡸
&#18553;	%4879	䡹
&#18554;	%487a	䡺
&#18555;	%487b	䡻
&#18556;	%487c	䡼
&#18557;	%487d	䡽
&#18558;	%487e	䡾
&#18559;	%487f	䡿
&#18560;	%4880	䢀
&#18561;	%4881	䢁
&#18562;	%4882	䢂
&#18563;	%4883	䢃
&#18564;	%4884	䢄
&#18565;	%4885	䢅
&#18566;	%4886	䢆
&#18567;	%4887	䢇
&#18568;	%4888	䢈
&#18569;	%4889	䢉
&#18570;	%488a	䢊
&#18571;	%488b	䢋
&#18572;	%488c	䢌
&#18573;	%488d	䢍
&#18574;	%488e	䢎
&#18575;	%488f	䢏
&#18576;	%4890	䢐
&#18577;	%4891	䢑
&#18578;	%4892	䢒
&#18579;	%4893	䢓
&#18580;	%4894	䢔
&#18581;	%4895	䢕
&#18582;	%4896	䢖
&#18583;	%4897	䢗
&#18584;	%4898	䢘
&#18585;	%4899	䢙
&#18586;	%489a	䢚
&#18587;	%489b	䢛
&#18588;	%489c	䢜
&#18589;	%489d	䢝
&#18590;	%489e	䢞
&#18591;	%489f	䢟
&#18592;	%48a0	䢠
&#18593;	%48a1	䢡
&#18594;	%48a2	䢢
&#18595;	%48a3	䢣
&#18596;	%48a4	䢤
&#18597;	%48a5	䢥
&#18598;	%48a6	䢦
&#18599;	%48a7	䢧
&#18600;	%48a8	䢨
&#18601;	%48a9	䢩
&#18602;	%48aa	䢪
&#18603;	%48ab	䢫
&#18604;	%48ac	䢬
&#18605;	%48ad	䢭
&#18606;	%48ae	䢮
&#18607;	%48af	䢯
&#18608;	%48b0	䢰
&#18609;	%48b1	䢱
&#18610;	%48b2	䢲
&#18611;	%48b3	䢳
&#18612;	%48b4	䢴
&#18613;	%48b5	䢵
&#18614;	%48b6	䢶
&#18615;	%48b7	䢷
&#18616;	%48b8	䢸
&#18617;	%48b9	䢹
&#18618;	%48ba	䢺
&#18619;	%48bb	䢻
&#18620;	%48bc	䢼
&#18621;	%48bd	䢽
&#18622;	%48be	䢾
&#18623;	%48bf	䢿
&#18624;	%48c0	䣀
&#18625;	%48c1	䣁
&#18626;	%48c2	䣂
&#18627;	%48c3	䣃
&#18628;	%48c4	䣄
&#18629;	%48c5	䣅
&#18630;	%48c6	䣆
&#18631;	%48c7	䣇
&#18632;	%48c8	䣈
&#18633;	%48c9	䣉
&#18634;	%48ca	䣊
&#18635;	%48cb	䣋
&#18636;	%48cc	䣌
&#18637;	%48cd	䣍
&#18638;	%48ce	䣎
&#18639;	%48cf	䣏
&#18640;	%48d0	䣐
&#18641;	%48d1	䣑
&#18642;	%48d2	䣒
&#18643;	%48d3	䣓
&#18644;	%48d4	䣔
&#18645;	%48d5	䣕
&#18646;	%48d6	䣖
&#18647;	%48d7	䣗
&#18648;	%48d8	䣘
&#18649;	%48d9	䣙
&#18650;	%48da	䣚
&#18651;	%48db	䣛
&#18652;	%48dc	䣜
&#18653;	%48dd	䣝
&#18654;	%48de	䣞
&#18655;	%48df	䣟
&#18656;	%48e0	䣠
&#18657;	%48e1	䣡
&#18658;	%48e2	䣢
&#18659;	%48e3	䣣
&#18660;	%48e4	䣤
&#18661;	%48e5	䣥
&#18662;	%48e6	䣦
&#18663;	%48e7	䣧
&#18664;	%48e8	䣨
&#18665;	%48e9	䣩
&#18666;	%48ea	䣪
&#18667;	%48eb	䣫
&#18668;	%48ec	䣬
&#18669;	%48ed	䣭
&#18670;	%48ee	䣮
&#18671;	%48ef	䣯
&#18672;	%48f0	䣰
&#18673;	%48f1	䣱
&#18674;	%48f2	䣲
&#18675;	%48f3	䣳
&#18676;	%48f4	䣴
&#18677;	%48f5	䣵
&#18678;	%48f6	䣶
&#18679;	%48f7	䣷
&#18680;	%48f8	䣸
&#18681;	%48f9	䣹
&#18682;	%48fa	䣺
&#18683;	%48fb	䣻
&#18684;	%48fc	䣼
&#18685;	%48fd	䣽
&#18686;	%48fe	䣾
&#18687;	%48ff	䣿
&#18688;	%4900	䤀
&#18689;	%4901	䤁
&#18690;	%4902	䤂
&#18691;	%4903	䤃
&#18692;	%4904	䤄
&#18693;	%4905	䤅
&#18694;	%4906	䤆
&#18695;	%4907	䤇
&#18696;	%4908	䤈
&#18697;	%4909	䤉
&#18698;	%490a	䤊
&#18699;	%490b	䤋
&#18700;	%490c	䤌
&#18701;	%490d	䤍
&#18702;	%490e	䤎
&#18703;	%490f	䤏
&#18704;	%4910	䤐
&#18705;	%4911	䤑
&#18706;	%4912	䤒
&#18707;	%4913	䤓
&#18708;	%4914	䤔
&#18709;	%4915	䤕
&#18710;	%4916	䤖
&#18711;	%4917	䤗
&#18712;	%4918	䤘
&#18713;	%4919	䤙
&#18714;	%491a	䤚
&#18715;	%491b	䤛
&#18716;	%491c	䤜
&#18717;	%491d	䤝
&#18718;	%491e	䤞
&#18719;	%491f	䤟
&#18720;	%4920	䤠
&#18721;	%4921	䤡
&#18722;	%4922	䤢
&#18723;	%4923	䤣
&#18724;	%4924	䤤
&#18725;	%4925	䤥
&#18726;	%4926	䤦
&#18727;	%4927	䤧
&#18728;	%4928	䤨
&#18729;	%4929	䤩
&#18730;	%492a	䤪
&#18731;	%492b	䤫
&#18732;	%492c	䤬
&#18733;	%492d	䤭
&#18734;	%492e	䤮
&#18735;	%492f	䤯
&#18736;	%4930	䤰
&#18737;	%4931	䤱
&#18738;	%4932	䤲
&#18739;	%4933	䤳
&#18740;	%4934	䤴
&#18741;	%4935	䤵
&#18742;	%4936	䤶
&#18743;	%4937	䤷
&#18744;	%4938	䤸
&#18745;	%4939	䤹
&#18746;	%493a	䤺
&#18747;	%493b	䤻
&#18748;	%493c	䤼
&#18749;	%493d	䤽
&#18750;	%493e	䤾
&#18751;	%493f	䤿
&#18752;	%4940	䥀
&#18753;	%4941	䥁
&#18754;	%4942	䥂
&#18755;	%4943	䥃
&#18756;	%4944	䥄
&#18757;	%4945	䥅
&#18758;	%4946	䥆
&#18759;	%4947	䥇
&#18760;	%4948	䥈
&#18761;	%4949	䥉
&#18762;	%494a	䥊
&#18763;	%494b	䥋
&#18764;	%494c	䥌
&#18765;	%494d	䥍
&#18766;	%494e	䥎
&#18767;	%494f	䥏
&#18768;	%4950	䥐
&#18769;	%4951	䥑
&#18770;	%4952	䥒
&#18771;	%4953	䥓
&#18772;	%4954	䥔
&#18773;	%4955	䥕
&#18774;	%4956	䥖
&#18775;	%4957	䥗
&#18776;	%4958	䥘
&#18777;	%4959	䥙
&#18778;	%495a	䥚
&#18779;	%495b	䥛
&#18780;	%495c	䥜
&#18781;	%495d	䥝
&#18782;	%495e	䥞
&#18783;	%495f	䥟
&#18784;	%4960	䥠
&#18785;	%4961	䥡
&#18786;	%4962	䥢
&#18787;	%4963	䥣
&#18788;	%4964	䥤
&#18789;	%4965	䥥
&#18790;	%4966	䥦
&#18791;	%4967	䥧
&#18792;	%4968	䥨
&#18793;	%4969	䥩
&#18794;	%496a	䥪
&#18795;	%496b	䥫
&#18796;	%496c	䥬
&#18797;	%496d	䥭
&#18798;	%496e	䥮
&#18799;	%496f	䥯
&#18800;	%4970	䥰
&#18801;	%4971	䥱
&#18802;	%4972	䥲
&#18803;	%4973	䥳
&#18804;	%4974	䥴
&#18805;	%4975	䥵
&#18806;	%4976	䥶
&#18807;	%4977	䥷
&#18808;	%4978	䥸
&#18809;	%4979	䥹
&#18810;	%497a	䥺
&#18811;	%497b	䥻
&#18812;	%497c	䥼
&#18813;	%497d	䥽
&#18814;	%497e	䥾
&#18815;	%497f	䥿
&#18816;	%4980	䦀
&#18817;	%4981	䦁
&#18818;	%4982	䦂
&#18819;	%4983	䦃
&#18820;	%4984	䦄
&#18821;	%4985	䦅
&#18822;	%4986	䦆
&#18823;	%4987	䦇
&#18824;	%4988	䦈
&#18825;	%4989	䦉
&#18826;	%498a	䦊
&#18827;	%498b	䦋
&#18828;	%498c	䦌
&#18829;	%498d	䦍
&#18830;	%498e	䦎
&#18831;	%498f	䦏
&#18832;	%4990	䦐
&#18833;	%4991	䦑
&#18834;	%4992	䦒
&#18835;	%4993	䦓
&#18836;	%4994	䦔
&#18837;	%4995	䦕
&#18838;	%4996	䦖
&#18839;	%4997	䦗
&#18840;	%4998	䦘
&#18841;	%4999	䦙
&#18842;	%499a	䦚
&#18843;	%499b	䦛
&#18844;	%499c	䦜
&#18845;	%499d	䦝
&#18846;	%499e	䦞
&#18847;	%499f	䦟
&#18848;	%49a0	䦠
&#18849;	%49a1	䦡
&#18850;	%49a2	䦢
&#18851;	%49a3	䦣
&#18852;	%49a4	䦤
&#18853;	%49a5	䦥
&#18854;	%49a6	䦦
&#18855;	%49a7	䦧
&#18856;	%49a8	䦨
&#18857;	%49a9	䦩
&#18858;	%49aa	䦪
&#18859;	%49ab	䦫
&#18860;	%49ac	䦬
&#18861;	%49ad	䦭
&#18862;	%49ae	䦮
&#18863;	%49af	䦯
&#18864;	%49b0	䦰
&#18865;	%49b1	䦱
&#18866;	%49b2	䦲
&#18867;	%49b3	䦳
&#18868;	%49b4	䦴
&#18869;	%49b5	䦵
&#18870;	%49b6	䦶
&#18871;	%49b7	䦷
&#18872;	%49b8	䦸
&#18873;	%49b9	䦹
&#18874;	%49ba	䦺
&#18875;	%49bb	䦻
&#18876;	%49bc	䦼
&#18877;	%49bd	䦽
&#18878;	%49be	䦾
&#18879;	%49bf	䦿
&#18880;	%49c0	䧀
&#18881;	%49c1	䧁
&#18882;	%49c2	䧂
&#18883;	%49c3	䧃
&#18884;	%49c4	䧄
&#18885;	%49c5	䧅
&#18886;	%49c6	䧆
&#18887;	%49c7	䧇
&#18888;	%49c8	䧈
&#18889;	%49c9	䧉
&#18890;	%49ca	䧊
&#18891;	%49cb	䧋
&#18892;	%49cc	䧌
&#18893;	%49cd	䧍
&#18894;	%49ce	䧎
&#18895;	%49cf	䧏
&#18896;	%49d0	䧐
&#18897;	%49d1	䧑
&#18898;	%49d2	䧒
&#18899;	%49d3	䧓
&#18900;	%49d4	䧔
&#18901;	%49d5	䧕
&#18902;	%49d6	䧖
&#18903;	%49d7	䧗
&#18904;	%49d8	䧘
&#18905;	%49d9	䧙
&#18906;	%49da	䧚
&#18907;	%49db	䧛
&#18908;	%49dc	䧜
&#18909;	%49dd	䧝
&#18910;	%49de	䧞
&#18911;	%49df	䧟
&#18912;	%49e0	䧠
&#18913;	%49e1	䧡
&#18914;	%49e2	䧢
&#18915;	%49e3	䧣
